,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
11,1079876613410639875,1079876613410639875,2018-12-31,jbethjs,"Through , Jen &amp; I are trying to flip the script. We’re not just talking about the good; we’re discussing , , and .  https://t.co/hNtTd9w2sC  https://t.co/5iWY6cbbvs","['socialmerk', 'anxiety', 'depression', 'perfectionism']","Through #Socialmerk, Jen &amp; I are trying to flip the script. We’re not just talking about the good; we’re discussing #anxiety, #depression, and #perfectionism.  https://t.co/hNtTd9w2sC  https://t.co/5iWY6cbbvs",1
12,1079876345939877888,1079876345939877888,2018-12-31,ojflocca,"Hey 🌏 If you will Check Out My Video ""Angels"" on Youtube here's the link  https://t.co/0kPDG46pgN       ","['depression', '2k19', 'ojflocca', 'covers', 'angels']","Hey 🌏 If you will Check Out My Video ""Angels"" on Youtube here's the link  https://t.co/0kPDG46pgN   #depression #2K19 #ojflocca #covers #angels",1
13,1079875986135633920,1079875986135633920,2018-12-31,erishkagel,Junjie: An Appreciation Thread   Trigger warning:   ,"['newyearseve', 'happynewyear2019', 'domesticabuse', 'abuse', 'depression']",Junjie: An Appreciation Thread #newyearseve #HappyNewYear2019 Trigger warning: #domesticabuse #abuse #depression,1
14,1079875971854012416,1079875971854012416,2018-12-31,vd2013,"“Milo &amp; Elisa”  My first book that was inspired by my own struggle with my mental health  Important fiction YA novel about mental health, loving yourself &amp; the idea of guardian angels       https://t.co/pgwfgjRxsb","['depression', 'anxiety', 'mentalhealth']","“Milo &amp; Elisa”  My first book that was inspired by my own struggle with my mental health  Important fiction YA novel about mental health, loving yourself &amp; the idea of guardian angels  #Depression #Anxiety #mentalhealth   https://t.co/pgwfgjRxsb",1
15,1079875493023821825,1079875493023821825,2018-12-31,anaspoison1,I feel so unloved. I have most of my life. I wouldn't wish this pain on anyone.    ,"['bpd', 'depression', 'ana', 'thoughts']",I feel so unloved. I have most of my life. I wouldn't wish this pain on anyone. #BPD #depression #ana #thoughts,1
16,1079873053280985088,1079873053280985088,2018-12-31,uclasemelfriend,5 Things You Can Do to Help Your  with  | NAMI: National Alliance on Mental Illness  https://t.co/l85BvhRYIM,"['child', 'depression']",5 Things You Can Do to Help Your #Child with #Depression | NAMI: National Alliance on Mental Illness  https://t.co/l85BvhRYIM,1
17,1079869985768570880,1079869985768570880,2018-12-31,mellowedmelons,I like eating chocolate when I'm sad because that's what Lupin gave to Harry.    ,"['harrypotter', 'depression', 'anxiety']",I like eating chocolate when I'm sad because that's what Lupin gave to Harry.  #HarryPotter #depression #anxiety,1
18,1079867376538185729,1079867376538185729,2018-12-31,allentien," patients should always be screened for , alcohol misuse, , other  to improve health life quality ||","['diabetes', 'depression', 'anxiety', 'mentaldisorder', 'sharedfacts']","#Diabetes patients should always be screened for #depression, alcohol misuse, #anxiety, other #mentaldisorder to improve health life quality ||#SharedFacts",1
19,1079866060252286976,1079866060252286976,2018-12-31,rheumaln,"Individuals with axial spondyloarthritis who smoke are negatively affecting their disease by worsening fatigue, sleep, , and , as well as heightening the odds for . Read more about the new study:  https://t.co/bPjqmV6sVx     https://t.co/jzEg5mA2fv","['anxiety', 'depression', 'psoriasis', 'smoke', 'rheumatology']","Individuals with axial spondyloarthritis who smoke are negatively affecting their disease by worsening fatigue, sleep, #anxiety, and #depression, as well as heightening the odds for #psoriasis. Read more about the new study:  https://t.co/bPjqmV6sVx  #smoke #rheumatology  https://t.co/jzEg5mA2fv",1
20,1079864335281934339,1079864335281934339,2018-12-31,vkararwa,How  Strengthened My Relationship With My Son  https://t.co/uv7oh7bm5U  https://t.co/oPKeQBRRJN,['depression'],How #Depression Strengthened My Relationship With My Son  https://t.co/uv7oh7bm5U  https://t.co/oPKeQBRRJN,1
21,1079863555418193922,1079863555418193922,2018-12-31,ochsnerhealth,"Could ,  and sleep disorders all be tackled by ?  https://t.co/cty1iUcZaT","['depression', 'anxiety', 'neurostimulation']","Could #depression, #anxiety and sleep disorders all be tackled by #neurostimulation?  https://t.co/cty1iUcZaT",1
22,1079860560659910656,1079860560659910656,2018-12-31,altwaystoheal,Do You Ever Just Want To Crawl Inside Yourself??  I DO Know how that feels!!  It's a .  Gotta Be Healthy! to Be Happy!!!  Get Help for !!  People DO Care!!   https://t.co/O0SwtyPAWa  https://t.co/50nQ72ik2p,"['crazyworld', 'depression']",Do You Ever Just Want To Crawl Inside Yourself??  I DO Know how that feels!!  It's a #CrazyWorld.  Gotta Be Healthy! to Be Happy!!!  Get Help for #Depression!!  People DO Care!!   https://t.co/O0SwtyPAWa  https://t.co/50nQ72ik2p,1
23,1079860520864399362,1079860520864399362,2018-12-31,adverahealth," may be a side effect of some common drugs, including ones for acid reflux and hypertension  https://t.co/fSb7m5qgrZ  https://t.co/g2pQpiPFPj",['depression'],"#Depression may be a side effect of some common drugs, including ones for acid reflux and hypertension  https://t.co/fSb7m5qgrZ  https://t.co/g2pQpiPFPj",1
24,1079860284041449477,1079860284041449477,2018-12-31,drjameszender,"""Depression is so exhausting ... ""    https://t.co/9CeqRiiZaY","['depression', 'depressed']","""Depression is so exhausting ... "" #depression #depressed  https://t.co/9CeqRiiZaY",1
25,1079859943048732674,1079859943048732674,2018-12-31,thecou_ch,"I’m 19, and I recently graduated high school and moved into my f ...     https://t.co/I48o6EzBbZ","['psychology', 'depression', 'mentalhealth']","I’m 19, and I recently graduated high school and moved into my f ... #Psychology #Depression #Mentalhealth  https://t.co/I48o6EzBbZ",1
26,1079859521013469184,1079859521013469184,2018-12-31,artcloudstrife,Listening to this pumped up song to beat my depression so I can leave my apartment   https://t.co/HWRxNumdhA,['depression'],Listening to this pumped up song to beat my depression so I can leave my apartment #Depression  https://t.co/HWRxNumdhA,1
27,1079858849740451840,1079858849740451840,2018-12-31,baritonekeith,"Today:  •Feeling disoriented and weak •Tingling of the limbs persist •Sore neck and lower back  Somehow made it to the gym. If this is 2018, I'm ready for it to be done with.   ","['chronicpain', 'depression']","Today:  •Feeling disoriented and weak •Tingling of the limbs persist •Sore neck and lower back  Somehow made it to the gym. If this is 2018, I'm ready for it to be done with.  #ChronicPain #depression",1
28,1079857355465076741,1079824648559345665,2018-12-31,allentien,"@MKGenest   :  https://t.co/6iS3Sy1l2l major inputs to reduce depression: exercise with a buddy, shelter","['generalsystemstheory', 'systemsmodel', 'depression']","@MKGenest #GeneralSystemsTheory #SystemsModel #depression:  https://t.co/6iS3Sy1l2l major inputs to reduce depression: exercise with a buddy, shelter",1
29,1079856853037780992,1079824648559345665,2018-12-31,allentien,"@MKGenest   of :  https://t.co/6iS3Sy1l2l major inputs to reduce depression: exercise with a buddy, shelter","['generalsystemstheory', 'systemsmodel', 'depression']","@MKGenest #GeneralSystemsTheory #SystemsModel of #depression:  https://t.co/6iS3Sy1l2l major inputs to reduce depression: exercise with a buddy, shelter",1
30,1079856821794426880,1079856821794426880,2018-12-31,drmaidenberg," Year. Is  really the cause of all this ? Recent studies have noted a significant uptick in  + suicidal thoughts over the past several years for teens, especially those who spend multiple hours a day using screens.   https://t.co/ll5ZWC6Koi  https://t.co/v6BcgqpGVk","['happynew', 'socialmedia', 'anxiety', 'depression']","#HappyNew Year. Is #socialmedia really the cause of all this #anxiety? Recent studies have noted a significant uptick in #depression + suicidal thoughts over the past several years for teens, especially those who spend multiple hours a day using screens.   https://t.co/ll5ZWC6Koi  https://t.co/v6BcgqpGVk",1
31,1079855727286632450,1079855727286632450,2018-12-31,wally44,"Geil, endlich ein |ssong am Brandenburger Tor. Das ist mein Silverster!     ","['depression', 'willkommen2019', 'dieimmerlacht', 'miniplaybackshow', 'zdf']","Geil, endlich ein #Depression|ssong am Brandenburger Tor. Das ist mein Silverster!  #Willkommen2019 #DieImmerLacht #MiniPlaybackShow #ZDF",1
32,1079855627604844555,1079855627604844555,2018-12-31,emydoeslife,"Terrified of failing exams,getting bad grades,never graduating.     ","['psychology', 'university', 'perfectionism', 'depression', 'anxiety']","Terrified of failing exams,getting bad grades,never graduating. #psychology #university #perfectionism #depression #anxiety",1
33,1079855315888136192,1079855315888136192,2018-12-31,leelee668,"If you’re feeling sad or lonely, please reach out!  There are those of us that really do care!!!     👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼","['happynewyear', 'depression']","If you’re feeling sad or lonely, please reach out!  There are those of us that really do care!!!  #HappyNewYear #Depression  👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼",1
34,1079855208476352513,1079855208476352513,2018-12-31,doitfordanorguk,Top nine for 2018. Thanks to everyone who has supported us in 2018 and looking forward to making more progress in 2019       …  https://t.co/tLx1A4X3Gq,"['anxiety', 'depression', 'doitfordan', 'breakthestigma', 'blurt']",Top nine for 2018. Thanks to everyone who has supported us in 2018 and looking forward to making more progress in 2019   #anxiety #depression #doitfordan #breakthestigma #blurt…  https://t.co/tLx1A4X3Gq,1
35,1079853770736128000,1079853770736128000,2018-12-31,justaveragejen,In my opinion you have to have a healthy mind to have a healthy body. Here are some tips from me how to achieve that  https://t.co/vPg5BAi9GN healthymind healthy    ,"['heathybody', 'relax', 'depression', 'loveyourself']",In my opinion you have to have a healthy mind to have a healthy body. Here are some tips from me how to achieve that  https://t.co/vPg5BAi9GN healthymind healthy #heathybody #relax #depression #loveyourself,1
36,1079852886782345217,1079852886782345217,2018-12-31,debraruh,So honored to interview you. Love your work Al. ,['depression'],So honored to interview you. Love your work Al. #depression,1
37,1079852819254001665,1079852809246392320,2018-12-31,mattnw13,"I am stronger than my  will let me admit, I have a wonderful family (2 &amp; 4 legged) &amp; hobbies help 🎲🎨  Believe in yourself, be brave, do one thing new, have compassion, have empathy, trust yourself, love - it's free.  Happy New year.    ","['depression', 'peace', 'love', 'soberlife', 'courage']","I am stronger than my #depression will let me admit, I have a wonderful family (2 &amp; 4 legged) &amp; hobbies help 🎲🎨  Believe in yourself, be brave, do one thing new, have compassion, have empathy, trust yourself, love - it's free.  Happy New year. #Peace #love #soberlife #courage",1
38,1079850226813489153,1079850226813489153,2018-12-31,rakeebmj,2019 i pray for no  or .  is more worth than money.,"['recession', 'depression', 'peace']",2019 i pray for no #recession or #depression. #peace is more worth than money.,1
39,1079850137621590016,1079850137621590016,2018-12-31,temivaughan,@Asads_ei   . Just call  https://t.co/quLnRYZ4bU,"['mentalhealthawareness', 'depression', 'notosucide']",@Asads_ei #mentalhealthawareness #depression #notosucide. Just call  https://t.co/quLnRYZ4bU,1
40,1079849473872924672,1079849473872924672,2018-12-31,ingenuousink,"There's nothing wrong being well-meaning but understand you're coming from a place of peace, because if you weren't, you would think before u spoke. MH issues can't be fixed by sociopolitical platitudes or emotional blackmail       https://t.co/y4HfBk0BRC","['mentalhealth', 'suicide', 'notacrime', 'depression', 'anxiety']","There's nothing wrong being well-meaning but understand you're coming from a place of peace, because if you weren't, you would think before u spoke. MH issues can't be fixed by sociopolitical platitudes or emotional blackmail #MentalHealth #Suicide #NotACrime #Depression #Anxiety  https://t.co/y4HfBk0BRC",1
41,1079849433565679621,1079849433565679621,2018-12-31,ssslcoaching,New Years can be very hard for some of us.   Do you stay in for new years or go out among people?   https://t.co/uQYvfJL44T    https://t.co/CkVbuiaESG,"['nye', 'depression']",New Years can be very hard for some of us.   Do you stay in for new years or go out among people?   https://t.co/uQYvfJL44T #nye #depression  https://t.co/CkVbuiaESG,1
42,1079848869180174343,1079848869180174343,2018-12-31,uptyscichick,Transformed by Postpartum Depression is a collection of women's stories about their experiences with postpartum depression. You are not alone.  https://t.co/34Ww6ZATim       https://t.co/34Ww6ZATim,"['postpartum', 'birth', 'mother', 'depression', 'womenshealth']",Transformed by Postpartum Depression is a collection of women's stories about their experiences with postpartum depression. You are not alone.  https://t.co/34Ww6ZATim #postpartum #birth #mother #depression #womenshealth  https://t.co/34Ww6ZATim,1
43,1079848856710459392,1079848856710459392,2018-12-31,praeclaruspress,Transformed by Postpartum Depression is a collection of women's stories about their experiences with postpartum depression. You are not alone.  https://t.co/5wD7uUEAXf       https://t.co/5wD7uUEAXf,"['postpartum', 'birth', 'mother', 'depression', 'womenshealth']",Transformed by Postpartum Depression is a collection of women's stories about their experiences with postpartum depression. You are not alone.  https://t.co/5wD7uUEAXf #postpartum #birth #mother #depression #womenshealth  https://t.co/5wD7uUEAXf,1
44,1079848837014081536,1079848837014081536,2018-12-31,praeclaruspress,Transformed by Postpartum Depression is a collection of women's stories about their experiences with postpartum depression. You are not alone.  https://t.co/5wD7uUEAXf     ,"['postpartum', 'birth', 'mother', 'depression', 'womenshealth']",Transformed by Postpartum Depression is a collection of women's stories about their experiences with postpartum depression. You are not alone.  https://t.co/5wD7uUEAXf #postpartum #birth #mother #depression #womenshealth,1
45,1079848446901866497,1079848446901866497,2018-12-31,usc_mvp,"Why  veterans are at a higher risk for  and , according to   student Katie McNamara:  https://t.co/0fFCmEJCKb  https://t.co/y5ihgh4lTe","['bisexual', 'depression', 'ptsd', 'phd', 'socialwork']","Why #bisexual veterans are at a higher risk for #depression and #PTSD, according to #PhD #SocialWork student Katie McNamara:  https://t.co/0fFCmEJCKb  https://t.co/y5ihgh4lTe",1
46,1079847872034684929,1079847872034684929,2018-12-31,mydickis_rude,I swear I be feeling like the loniest person on earth ,['depression'],I swear I be feeling like the loniest person on earth #Depression,1
47,1079846197257490433,1079846197257490433,2018-12-31,textonscreen,"Even when your cellphone is not in use, it's irradiating you, pulsing ever 6-30 seconds, with microwave radiation that will cause neurological disorders such as  and  w/ cumulative damage to nervous system.  https://t.co/7R5M056m3O ","['depression', 'anxiety', 'depressishealedwithlove']","Even when your cellphone is not in use, it's irradiating you, pulsing ever 6-30 seconds, with microwave radiation that will cause neurological disorders such as #depression and #anxiety w/ cumulative damage to nervous system.  https://t.co/7R5M056m3O #depressishealedwithlove",1
48,1079846080123146241,1079846080123146241,2018-12-31,rhrgateway,Is there a connection between social isolation &amp; ?  https://t.co/vivpDSWeGZ ,"['depression', 'ruralhealth']",Is there a connection between social isolation &amp; #depression?  https://t.co/vivpDSWeGZ #RuralHealth,1
49,1079845526823202819,1079845526823202819,2018-12-31,kw_writes,What To Do When You Can’t Even With   https://t.co/iQ2dwOSAyu by Kelly Wilson at Sweatpants &amp; Coffee     https://t.co/SkLrZrnEne,"['parenting', 'depression', 'kids', 'family']",What To Do When You Can’t Even With #Parenting  https://t.co/iQ2dwOSAyu by Kelly Wilson at Sweatpants &amp; Coffee #depression #kids #family  https://t.co/SkLrZrnEne,1
50,1079845501078507526,1079845501078507526,2018-12-31,vkararwa,Some people still don't 'believe' in   https://t.co/AGRuQz1ddR  https://t.co/93Brv5dV1d,['depression'],Some people still don't 'believe' in #depression  https://t.co/AGRuQz1ddR  https://t.co/93Brv5dV1d,1
51,1079841721742254085,1079841721742254085,2018-12-31,maria_m_johnson,"I will step into tomorrow with hope – not because it’s a new year, but because each day I choose to ground myself in God’s Word. – God’s Word For Mental Health  https://t.co/f05dRGBGs4   ","['anxiety', 'depression', 'sicknotweak']","I will step into tomorrow with hope – not because it’s a new year, but because each day I choose to ground myself in God’s Word. – God’s Word For Mental Health  https://t.co/f05dRGBGs4 #anxiety #depression #sicknotweak",1
52,1079841040465649665,1079841040465649665,2018-12-31,bookwormclaire,Each year gets progressively harder to fight through so not going into 2019 with any expectations.  ,['depression'],Each year gets progressively harder to fight through so not going into 2019 with any expectations.  #depression,1
53,1079840831819993088,1079840831819993088,2018-12-31,katiebutterfly6,Open Letter To Advocate Kim –       https://t.co/RZ1Q4LtI2l,"['mentalhealthmatters', 'rape', 'depression', 'bpd']",Open Letter To Advocate Kim – #MentalHealthMatters #Rape #Depression #BPD   https://t.co/RZ1Q4LtI2l,1
54,1079838575103959042,1079838575103959042,2018-12-31,shoppingblonde,Well as 2018 comes to an end I will have to say that it was a better year compaired to 2017 and being homeless   ,"['sicknotweak', 'depression', 'anxiety']",Well as 2018 comes to an end I will have to say that it was a better year compaired to 2017 and being homeless #SickNotWeak #depression #anxiety,1
55,1079838504711008257,1079838500294483969,2018-12-31,teacher_toni,"3/ Good, because now I will be on the lookout and will look for any preventative measures I can take to lessen 's grip on me during those four months. Cheers.",['depression'],"3/ Good, because now I will be on the lookout and will look for any preventative measures I can take to lessen #depression's grip on me during those four months. Cheers.",1
56,1079838503905775616,1079838500294483969,2018-12-31,teacher_toni,"2/ Mixed because, as usual, I tried very hard to hide it. Good because, I realized that April/May &amp; July/August are habitually bad times for me. I don't know why. Mixed because I know that  is always right around the corner.",['depression'],"2/ Mixed because, as usual, I tried very hard to hide it. Good because, I realized that April/May &amp; July/August are habitually bad times for me. I don't know why. Mixed because I know that #depression is always right around the corner.",1
57,1079838500294483969,1079838500294483969,2018-12-31,teacher_toni,"1/ I've been thinking about 2018 &amp; the good (&amp; bad) things that happened. In the good category, I got a job after a 2nd long period of unemployment. In the great category, I adopted 2 adorable kittens. In the mixed category, I survived 2 fairly serious relapses into .",['depression'],"1/ I've been thinking about 2018 &amp; the good (&amp; bad) things that happened. In the good category, I got a job after a 2nd long period of unemployment. In the great category, I adopted 2 adorable kittens. In the mixed category, I survived 2 fairly serious relapses into #depression.",1
58,1079837942254850048,1079837942254850048,2018-12-31,tkelly24681012,"I want to challenge everyone on this New Year’s Eve, to listen . Depression kills.     We hear u. Now let your voice never be forgotten","['suicideawareness', 'depression', 'youcanwinthewar', 'chesterbennington']","I want to challenge everyone on this New Year’s Eve, to listen . Depression kills. #SuicideAwareness #depression #youcanwinthewar #ChesterBennington We hear u. Now let your voice never be forgotten",1
59,1079836817967452160,1079836817967452160,2018-12-31,bizlligence," jump, but remain on track for their worst December since the    https://t.co/RgG4ZUgXZm","['stocks', 'great', 'depression']","#Stocks jump, but remain on track for their worst December since the #Great #Depression  https://t.co/RgG4ZUgXZm",1
60,1079836249572196353,1079836249572196353,2018-12-31,simonartphotos,How This Photographer is Using His Camera to Combat   https://t.co/KQBNOpPblR  ,"['depression', 'inspiration', 'gregsheard']",How This Photographer is Using His Camera to Combat #Depression  https://t.co/KQBNOpPblR #inspiration #gregsheard,1
61,1079835469863677952,1079835469863677952,2018-12-31,haitianking78,RIP 2018 to:     ,"['fear', 'struggle', 'depression', 'wealthbuilding']",RIP 2018 to: #fear #struggle #depression  #wealthbuilding,1
62,1079835032016117760,1079835032016117760,2018-12-31,gloryriser,"When you're depressed, unpredictable moods cause irrational behavior. 
  https://t.co/ZSE4cAf8B6 ",['depression'],"When you're depressed, unpredictable moods cause irrational behavior. 
  https://t.co/ZSE4cAf8B6 #depression",1
63,1079833573413322752,1079833573413322752,2018-12-31,allentien,", , , overdose deaths are part of a complex multi-dimensional problem; overlapping population distributions. Comprehensive measurement of behavioral disorders and social determinants essential  https://t.co/R1YOzJUDON ||","['chronicpain', 'depression', 'suicide', 'sharedfacts']","#ChronicPain, #depression, #suicide, overdose deaths are part of a complex multi-dimensional problem; overlapping population distributions. Comprehensive measurement of behavioral disorders and social determinants essential  https://t.co/R1YOzJUDON ||#SharedFacts",1
64,1079833294710206465,1079833294710206465,2018-12-31,vectorofcruelty,Looking forward to another shitty year.   ,"['newyeareve', 'fucknewyears', 'depression']",Looking forward to another shitty year. #NewYearEve #fucknewyears #depression,1
65,1079833067819278336,1079833067819278336,2018-12-31,womensmedicine,Is  affecting you? Learn what symptoms to watch for and how to take action:  https://t.co/e5tvl8GPxw  ,"['seasonalaffectivedisorder', 'depression', 'mentalhealth']",Is #seasonalaffectivedisorder affecting you? Learn what symptoms to watch for and how to take action:  https://t.co/e5tvl8GPxw #depression #mentalhealth,1
66,1079832568118300673,1079832568118300673,2018-12-31,leben_wie,Wichtig und musste ich auch erstmal verstehen: auch positive Situationen kosten Energie.      https://t.co/wFVZ9cFgNH,"['depression', 'life']",Wichtig und musste ich auch erstmal verstehen: auch positive Situationen kosten Energie. #depression #life    https://t.co/wFVZ9cFgNH,1
67,1079831200984850435,1079824648559345665,2018-12-31,catja_f,"@MKGenest @Psycheek I understand what you're going through, your bones feel like they've turned to lead coupled with extreme anhedonia. Do you think we can make you laugh? Come on tweeps send MK some funny pics &amp; gifs   https://t.co/RBBWay5Fb8",['depression'],"@MKGenest @Psycheek I understand what you're going through, your bones feel like they've turned to lead coupled with extreme anhedonia. Do you think we can make you laugh? Come on tweeps send MK some funny pics &amp; gifs #depression  https://t.co/RBBWay5Fb8",1
68,1079830633600483328,1079830633600483328,2018-12-31,depressionbyph,You can experience happiness and joy in your life.    https://t.co/nkpmEAcFpM,"['depression', 'prohealth']",You can experience happiness and joy in your life. #Depression #ProHealth  https://t.co/nkpmEAcFpM,1
69,1079830173367877632,1079830173367877632,2018-12-31,mindsminding,Tonight really is the beginning of something new - yesterday is scraped clean.    ,"['storyin12', 'depression', 'lonely', 'writingcommunity']",Tonight really is the beginning of something new - yesterday is scraped clean. #storyin12 #depression #lonely #WritingCommunity,1
70,1079829690066526212,1079829690066526212,2018-12-31,soisfibroreal,"Fibromyalgia and staying positive...""Because if I’m being honest, truly honest with myself…isn’t it, more often than not, really more about just trying to NOT be depressed?""  https://t.co/RSWDcWDboA … …   ","['fibromyalgia', 'depression', 'whatiknowisreal']","Fibromyalgia and staying positive...""Because if I’m being honest, truly honest with myself…isn’t it, more often than not, really more about just trying to NOT be depressed?""  https://t.co/RSWDcWDboA … … #Fibromyalgia #Depression #WhatIKnowIsReal",1
71,1079829301967667200,1079829301967667200,2018-12-31,emmabbooks,"Cheer Up Love by Susan Calman is a book about helping yourself, or others, with depression.  Susan talks about what has helped her, and what has not.  Informative and humorous.  5*s   https://t.co/Ry8TfQGF7r     https://t.co/uZaUNGDsab","['depression', 'selfcare', 'mentalhealth']","Cheer Up Love by Susan Calman is a book about helping yourself, or others, with depression.  Susan talks about what has helped her, and what has not.  Informative and humorous.  5*s   https://t.co/Ry8TfQGF7r #depression #selfcare #mentalhealth  https://t.co/uZaUNGDsab",1
72,1079827576024154112,1079827576024154112,2018-12-31,sesi_ambi,This has depression written all over it. If undiagnosed and untreated  can be fatal.,['depression'],This has depression written all over it. If undiagnosed and untreated #Depression can be fatal.,1
73,1079827042219241472,1079827042219241472,2018-12-31,yanga_skytv,❤ :   is real  https://t.co/5PI7JPPAhJ,"['mentalhealth', 'depression']",❤ : #MentalHealth #Depression is real  https://t.co/5PI7JPPAhJ,1
74,1079826299978375170,1079826299978375170,2018-12-31,cocoafly,"I’ve kept a  since I was 7 years old. There’s a sweet story behind my 1st one in my poem The Gift from my book. Journaling has blessed me, inspired me, saved me during battles w/ , helped me figure things out.   https://t.co/dak8NyAzvK","['journal', 'depression', 'purpleroseblooms']","I’ve kept a #journal since I was 7 years old. There’s a sweet story behind my 1st one in my poem The Gift from my book. Journaling has blessed me, inspired me, saved me during battles w/ #depression, helped me figure things out. #purpleroseblooms  https://t.co/dak8NyAzvK",1
75,1079824229770584067,1079824229770584067,2018-12-31,gina_capobianco,"As 2018 comes to an end I would like to thank everyone who supported me this year. Releasing my 3rd book, “Curative Quest” was amazing &amp; a best seller on Amazon.  I have been able to use my book and social media to add my voice to the needed dialogue on    https://t.co/lzMFz07K6E","['mentalhealth', 'depression']","As 2018 comes to an end I would like to thank everyone who supported me this year. Releasing my 3rd book, “Curative Quest” was amazing &amp; a best seller on Amazon.  I have been able to use my book and social media to add my voice to the needed dialogue on #mentalhealth #depression  https://t.co/lzMFz07K6E",1
